PheWAS_Category	Ethnicity	Description	Data_Field	rsID	Samples	-log(p)	p-val	beta	std_error	Category	Gene
example	White	Sitting height	f.20015.0.0	rs6426192	910/969	114.17750887429594	6.644940946153073e-115	33.7559973908556	0.774174631175596	Body size measures	DDX11L1, DDX11L17
example	White	Standing height	f.50.0.0	rs6426192	915/969	113.93467129977944	1.1623280008475067e-114	69.58951381039356	1.6151289479587	Body size measures	DDX11L1, DDX11L17
example	White	Hip circumference	f.49.0.0	rs6426192	915/969	62.661103222716	2.182211184237922e-63	39.60512337858894	1.6986836159872958	Body size measures	DDX11L1, DDX11L17
example	White	Diastolic blood pressure, automated reading	f.4079.0.1	rs6426192	848/969	43.57359763129784	2.669330622482956e-44	33.49136845692551	1.8881932794860767	Blood pressure	DDX11L1, DDX11L17
example	White	Systolic blood pressure, automated reading	f.4080.0.0	rs6426192	860/969	40.2023733923682	6.275186065861702e-41	56.57929256256959	3.40917868851491	Blood pressure	DDX11L1, DDX11L17
example	White	Impedance of leg (right)	f.23107.0.0	rs6426192	904/969	40.01259381707885	9.714180814201296e-41	99.7330712737011	6.09439671605312	Body composition by impedance	DDX11L1, DDX11L17
example	White	Impedance of arm (left)	f.23110.0.0	rs6426192	905/969	38.898962424674984	1.2619367131155769e-39	153.1988054598863	9.556018218023764	Body composition by impedance	DDX11L1, DDX11L17
example	White	Impedance of whole body	f.23106.0.0	rs6426192	905/969	37.24685790021259	5.664245910646911e-38	235.88648645819748	15.16833039182947	Body composition by impedance	DDX11L1, DDX11L17
example	White	Diastolic blood pressure, automated reading	f.4079.0.0	rs6426192	860/969	36.8257667078659	1.4935965168181404e-37	31.714881898513532	2.038128282324067	Blood pressure	DDX11L1, DDX11L17
example	White	Waist circumference	f.48.0.0	rs6426192	915/969	35.48493824668295	3.27387243503767e-36	34.73855596059136	2.319475782764444	Body size measures	DDX11L1, DDX11L17
example	White	Pulse rate, automated reading	f.102.0.0	rs6426192	860/969	34.144417176211086	7.171051208133653e-35	30.00215154854188	2.0211174813591057	Blood pressure	DDX11L1, DDX11L17
